county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Walsh County,North Dakota,11090,11030,11049,11092,10959,10897
Ward County,North Dakota,62113,64343,65534,67992,69536,71275
Wells County,North Dakota,4199,4218,4262,4187,4184,4168
Williams County,North Dakota,22587,24401,26710,29561,32129,35294
Adams County,Ohio,28557,28511,28354,28132,28124,28024
Allen County,Ohio,106405,105963,105329,105216,105048,104425
Ashland County,Ohio,53320,53285,53238,53122,53085,53213
Ashtabula County,Ohio,101400,101099,100268,99750,99138,98632
Athens County,Ohio,65223,65112,64641,64511,64722,65886
Auglaize County,Ohio,45934,45819,45875,45907,45890,45876
Belmont County,Ohio,70318,70065,69638,69527,69414,69154
Brown County,Ohio,44883,44675,44399,44243,44078,43839
Butler County,Ohio,369064,370199,370802,371387,373948,376353
Carroll County,Ohio,28825,28894,28583,28307,28209,27811
Champaign County,Ohio,40059,39873,39578,39451,39078,38987
Clark County,Ohio,138246,137760,137193,136740,136482,135959
Clermont County,Ohio,197705,198615,199242,200219,201375,201973
Clinton County,Ohio,41903,41915,41844,41902,41880,41917
Columbiana County,Ohio,107863,107265,106441,105827,105597,104806
Coshocton County,Ohio,36928,36919,36821,36745,36568,36569
Crawford County,Ohio,43769,43297,42827,42754,42439,42306
Cuyahoga County,Ohio,1278226,1269820,1265798,1263796,1260610,1255921
Darke County,Ohio,52962,52671,52498,52322,52215,52076
Defiance County,Ohio,39112,39036,38832,38573,38551,38352
Delaware County,Ohio,175146,178544,181127,185246,189237,193013
Erie County,Ohio,77034,76682,76464,76148,75860,75550
Fairfield County,Ohio,146385,147333,147490,148897,150432,151408
Fayette County,Ohio,29017,28898,28837,28743,28690,28679
Franklin County,Ohio,1166296,1180069,1197690,1215200,1234126,1251722
Fulton County,Ohio,42616,42481,42461,42355,42591,42537
Gallia County,Ohio,31085,30984,30823,30548,30326,30142
Geauga County,Ohio,93418,93374,93859,93935,94099,94102
Greene County,Ohio,161608,163620,164389,163865,164660,164427
Guernsey County,Ohio,40136,39857,39826,39608,39582,39258
Hamilton County,Ohio,802270,800642,802316,804083,806332,807598
Hancock County,Ohio,74680,75056,75597,75653,75263,75573
Hardin County,Ohio,32099,31821,31638,31750,31791,31682
Harrison County,Ohio,15849,15803,15710,15634,15567,15450
Henry County,Ohio,28115,28223,28073,28078,27887,27816
Highland County,Ohio,43598,43430,43023,43258,43115,43026
Hocking County,Ohio,29470,29475,29299,28607,28700,28491
Holmes County,Ohio,42470,42777,43094,43599,43801,43909
Huron County,Ohio,59578,59408,59262,58860,58685,58469
Jackson County,Ohio,33273,33149,32905,32834,32784,32596
Jefferson County,Ohio,69612,68882,68338,67993,67703,67347
Knox County,Ohio,61086,61307,60805,60834,61013,61061
Lake County,Ohio,230004,229775,229338,229605,229220,229245
Lawrence County,Ohio,62420,62380,62118,61928,61601,61109
Licking County,Ohio,166719,167241,167727,168521,169407,170570
Logan County,Ohio,45770,45616,45447,45462,45509,45386
Lorain County,Ohio,301471,301924,301652,302851,304187,305147
Lucas County,Ohio,441575,439620,437131,436249,434615,433689
Madison County,Ohio,43395,43060,42949,43238,43937,44094
Mahoning County,Ohio,238398,237323,235845,234384,233298,231900
Marion County,Ohio,66452,66543,66236,65908,65674,65355
Medina County,Ohio,172542,173456,173674,174667,175963,176395
Meigs County,Ohio,23733,23704,23605,23475,23326,23257
Mercer County,Ohio,40782,40809,40841,40772,40926,40968
Miami County,Ohio,102479,102846,103125,103421,103970,104224
Monroe County,Ohio,14579,14719,14574,14581,14453,14409
Montgomery County,Ohio,536216,534923,534782,534336,532515,532258
Morgan County,Ohio,15064,15088,14959,14947,14792,14777
Morrow County,Ohio,34815,34905,34968,34970,35064,35074
Muskingum County,Ohio,86207,86228,85873,85742,85946,86290
Noble County,Ohio,14634,14700,14578,14561,14377,14326
Ottawa County,Ohio,41392,41414,41339,41106,41072,40877
Paulding County,Ohio,19575,19400,19278,19176,18996,18976
Perry County,Ohio,36048,36233,36009,35987,35910,35985
Pickaway County,Ohio,55745,55997,56361,56435,56782,56998
Pike County,Ohio,28738,28628,28490,28368,28276,28217
Portage County,Ohio,161448,161899,161482,161593,162235,162275
Preble County,Ohio,42171,42007,41856,41697,41521,41329
Putnam County,Ohio,34459,34392,34188,34090,34206,34042
Richland County,Ohio,124173,123076,122600,122263,121914,121707
Ross County,Ohio,78101,77605,77453,77325,77115,77170
Sandusky County,Ohio,60874,60605,60519,60127,60004,59679
Scioto County,Ohio,79528,79233,78605,78094,77326,76825
Seneca County,Ohio,56630,56432,56037,55814,55751,55610
Shelby County,Ohio,49313,49244,49125,49121,48942,48901
Stark County,Ohio,375461,374292,374807,374992,375638,375165
Summit County,Ohio,541671,541281,541192,542195,542600,541968
Trumbull County,Ohio,209854,208952,207399,206508,205255,203751
Tuscarawas County,Ohio,92555,92518,92501,92778,92774,92916
Union County,Ohio,52420,53116,52832,53410,53713,54277
Van Wert County,Ohio,28665,28694,28718,28465,28442,28562
Vinton County,Ohio,13421,13401,13235,13288,13197,13048
Warren County,Ohio,213524,215804,217749,219743,221816,224469
Washington County,Ohio,61708,61560,61509,61403,61172,61112
Wayne County,Ohio,114439,114667,115063,115319,115742,116063
Williams County,Ohio,37526,37586,37547,37453,37222,37120
Wood County,Ohio,125940,127279,128642,129197,129575,129730
Wyandot County,Ohio,22589,22659,22598,22508,22327,22243
Adair County,Oklahoma,22731,22527,22258,22238,22153,22004
Alfalfa County,Oklahoma,5632,5641,5647,5824,5793,5868
Atoka County,Oklahoma,14161,14113,13974,13804,13848,13793
Beaver County,Oklahoma,5638,5630,5582,5528,5483,5427
Beckham County,Oklahoma,22055,22326,23128,23545,23733,23768
Blaine County,Oklahoma,9899,9701,9821,9801,9896,9833
Bryan County,Oklahoma,42627,43136,43441,44151,44403,44884
Caddo County,Oklahoma,29674,29604,29667,29487,29372,29343
Canadian County,Oklahoma,116339,119458,122564,126086,129478,133378
Carter County,Oklahoma,47789,48074,48098,48593,48756,48689
Cherokee County,Oklahoma,47121,47744,48062,47928,48302,48447
Choctaw County,Oklahoma,15227,15239,15164,15058,15143,14997
Cimarron County,Oklahoma,2457,2481,2394,2326,2288,2216
Cleveland County,Oklahoma,256920,261971,266293,270161,270189,274458
Coal County,Oklahoma,5894,5932,5906,5795,5777,5651
Comanche County,Oklahoma,125389,126072,126609,125100,125225,124648
Cotton County,Oklahoma,6174,6154,6145,6140,6127,5996
Craig County,Oklahoma,15060,14936,14723,14659,14577,14818
Creek County,Oklahoma,70204,70662,70866,70729,70657,70892
Custer County,Oklahoma,27489,27727,28525,29306,29587,29744
Delaware County,Oklahoma,41543,41374,41383,41379,41448,41459
Dewey County,Oklahoma,4823,4760,4785,4825,4948,4995
Ellis County,Oklahoma,4149,4041,4071,4131,4129,4231
Garfield County,Oklahoma,60758,60706,61303,62407,62977,63569
Garvin County,Oklahoma,27554,27374,27274,27342,27531,27755
Grady County,Oklahoma,52480,52763,53060,53673,53915,54648
Grant County,Oklahoma,4535,4546,4508,4514,4496,4523
Greer County,Oklahoma,6205,6151,6059,6156,6149,6070
Harmon County,Oklahoma,2917,2933,2910,2882,2815,2788
Harper County,Oklahoma,3694,3708,3694,3833,3840,3754
Haskell County,Oklahoma,12740,12712,12867,12936,12888,12845
Hughes County,Oklahoma,14020,13854,13793,13737,13808,13735
Jackson County,Oklahoma,26467,26406,26245,26173,25881,25574
Jefferson County,Oklahoma,6446,6437,6332,6338,6283,6276
Johnston County,Oklahoma,10987,11073,10981,10990,11084,10980
Kay County,Oklahoma,46428,45816,45691,45552,45510,45366
Kingfisher County,Oklahoma,15056,15113,14999,15303,15509,15584
Kiowa County,Oklahoma,9430,9405,9341,9349,9273,9144
Latimer County,Oklahoma,11139,11115,10944,10692,10637,10483
Le Flore County,Oklahoma,50475,50239,49958,49881,49810,49605
Lincoln County,Oklahoma,34321,34321,34213,34316,34627,35042
Logan County,Oklahoma,42067,43101,43675,44392,45301,45996
Love County,Oklahoma,9431,9389,9569,9718,9767,9870
McClain County,Oklahoma,34725,35152,35587,36491,37264,38066
McCurtain County,Oklahoma,33179,33246,33226,33110,33087,33048
McIntosh County,Oklahoma,20277,20304,20520,20466,20119,19990
Major County,Oklahoma,7510,7621,7669,7683,7758,7771
Marshall County,Oklahoma,15839,15892,15911,15954,16083,16232
Mayes County,Oklahoma,41288,41284,41114,40895,40855,40887
Murray County,Oklahoma,13508,13608,13629,13698,13794,13936
Muskogee County,Oklahoma,71101,70726,70536,70245,69913,69699
Noble County,Oklahoma,11566,11554,11512,11393,11519,11554
Nowata County,Oklahoma,10513,10620,10586,10530,10498,10539
Okfuskee County,Oklahoma,12220,12296,12294,12275,12194,12181
Oklahoma County,Oklahoma,721098,730044,742726,755921,766845,776864
Okmulgee County,Oklahoma,40118,39815,39617,39475,39137,39187
Osage County,Oklahoma,47435,48331,48013,47966,48075,47887
Ottawa County,Oklahoma,31840,31901,32219,32241,32083,31981
Pawnee County,Oklahoma,16592,16786,16462,16477,16336,16436
Payne County,Oklahoma,77444,77970,78509,79481,80305,80850
Pittsburg County,Oklahoma,45762,45628,45107,44842,44619,44610
Pontotoc County,Oklahoma,37600,37719,38036,38153,38174,38194
Pottawatomie County,Oklahoma,69654,70145,70685,71171,71802,71875
Pushmataha County,Oklahoma,11575,11393,11226,11200,11128,11183
Roger Mills County,Oklahoma,3641,3803,3781,3746,3776,3788
Rogers County,Oklahoma,87019,87735,88420,89129,89862,90802
Seminole County,Oklahoma,25455,25489,25474,25472,25423,25548
Sequoyah County,Oklahoma,42442,42021,41483,41313,41351,41153
Stephens County,Oklahoma,45105,45127,44864,44959,44501,44581
Texas County,Oklahoma,20800,21190,21501,22004,21757,21489
Tillman County,Oklahoma,7989,7985,7786,7678,7613,7515
Tulsa County,Oklahoma,605197,608701,614814,623488,630428,639242
Wagoner County,Oklahoma,73413,74088,75018,75680,75612,76559
Washington County,Oklahoma,51064,51522,51721,51569,51967,52021
Washita County,Oklahoma,11610,11622,11655,11738,11570,11661
Woods County,Oklahoma,8895,8765,8832,9000,9264,9304
Woodward County,Oklahoma,19977,20078,20624,21184,21485,21559
Baker County,Oregon,16105,16059,15987,16125,16082,16005
Benton County,Oregon,85565,86025,86441,86024,86414,87572
Clackamas County,Oregon,376906,379670,383389,388111,394504,401515
Clatsop County,Oregon,37086,37210,37353,37091,37425,37831
Columbia County,Oregon,49352,49378,49225,49256,49488,49600
Coos County,Oregon,63016,62814,62759,62557,62623,63121
Crook County,Oregon,20899,20679,20651,20782,21039,21630
Curry County,Oregon,22372,22453,22237,22254,22265,22483
Deschutes County,Oregon,157839,159765,161749,165930,170398,175268
Douglas County,Oregon,107662,107273,107127,106887,106998,107685
Gilliam County,Oregon,1872,1949,1943,1941,1924,1859
Grant County,Oregon,7458,7412,7324,7271,7190,7185
Harney County,Oregon,7410,7375,7243,7167,7160,7200
Hood River County,Oregon,22442,22431,22619,22702,22854,23137
Jackson County,Oregon,203413,204761,206336,207998,210151,212567
Jefferson County,Oregon,21688,21701,21789,21868,22283,22666
Josephine County,Oregon,82868,82641,82791,83263,83606,84745
Klamath County,Oregon,66332,66345,66090,65887,65520,66016
Lake County,Oregon,7881,7919,7789,7830,7843,7829
Lane County,Oregon,351966,353637,354610,355650,358506,362895
Lincoln County,Oregon,45990,45854,46166,46291,46386,47038
Linn County,Oregon,116890,118137,118359,118545,119269,120547
Malheur County,Oregon,31348,30789,30608,30623,30349,30380
Marion County,Oregon,315960,317896,319945,321914,325838,330700
Morrow County,Oregon,11204,11197,11233,11243,11156,11190
Multnomah County,Oregon,737320,748145,759181,766589,777880,790294
Polk County,Oregon,75574,75966,76286,76694,77983,79391
Sherman County,Oregon,1771,1732,1732,1711,1702,1680
Tillamook County,Oregon,25256,25423,25338,25360,25378,25653
Umatilla County,Oregon,76081,76723,76944,76845,76648,76531
Union County,Oregon,25742,25887,25819,25539,25688,25790
Wallowa County,Oregon,7022,6997,6813,6800,6817,6856
Wasco County,Oregon,25270,25246,25470,25464,25507,25775
Washington County,Oregon,531658,539860,547932,555661,563273,574326
Wheeler County,Oregon,1447,1418,1424,1390,1372,1358
Yamhill County,Oregon,99307,99742,100742,100767,101683,102659
Adams County,Pennsylvania,101472,101657,101572,101525,101787,102295
Allegheny County,Pennsylvania,1223933,1227677,1230881,1233814,1232896,1230459
Armstrong County,Pennsylvania,68860,68661,68376,68115,67693,67052
Beaver County,Pennsylvania,170611,170375,170271,170072,169338,168871
Bedford County,Pennsylvania,49715,49416,49376,49115,48939,48586
Berks County,Pennsylvania,411984,412715,413516,413965,414360,415271
Blair County,Pennsylvania,127051,127192,127015,126426,126016,125593
Bradford County,Pennsylvania,62615,63034,62829,62325,61673,61281
Bucks County,Pennsylvania,625473,626435,626194,626313,626608,627367
Butler County,Pennsylvania,184115,184761,185109,185370,186386,186818
Cambria County,Pennsylvania,143468,142584,141540,138835,137534,136411
Cameron County,Pennsylvania,5074,4993,4948,4888,4785,4732
Carbon County,Pennsylvania,65232,65129,64951,64713,64418,63960
Centre County,Pennsylvania,154253,154976,155839,158213,159506,160580
Chester County,Pennsylvania,499950,503702,506428,509624,513291,515939
Clarion County,Pennsylvania,39928,39875,39424,39044,39428,39498
Clearfield County,Pennsylvania,81582,81521,81497,81575,81126,80994
Clinton County,Pennsylvania,39245,39529,39748,39839,39511,39441
Columbia County,Pennsylvania,67362,66930,66906,67077,66969,66672
Crawford County,Pennsylvania,88690,88105,87668,87401,87057,86484
Cumberland County,Pennsylvania,235977,236912,239187,241163,243533,246338
Dauphin County,Pennsylvania,268260,269119,269984,271307,272078,272983
Delaware County,Pennsylvania,559053,559075,560869,561619,562957,563894
Elk County,Pennsylvania,31859,31805,31630,31424,31119,30872
Erie County,Pennsylvania,280774,281116,281076,280117,278936,278045
Fayette County,Pennsylvania,136473,136049,135490,134835,134255,133628
Forest County,Pennsylvania,7703,7738,7661,7579,7515,7410
Franklin County,Pennsylvania,149948,151037,151618,152181,152951,153638
Fulton County,Pennsylvania,14868,14778,14762,14684,14615,14629
Greene County,Pennsylvania,38605,38424,38070,37874,37805,37519
Huntingdon County,Pennsylvania,46013,46130,46038,45901,45791,45668
Indiana County,Pennsylvania,88850,88565,88229,88227,87487,86966
Jefferson County,Pennsylvania,45202,44936,44851,44954,44609,44430
Juniata County,Pennsylvania,24536,24916,24908,24780,24806,24737
Lackawanna County,Pennsylvania,214509,214581,214477,213759,212561,211917
Lancaster County,Pennsylvania,520357,523692,526879,530238,533645,536624
Lawrence County,Pennsylvania,90973,90326,89736,89150,88514,88082
Lebanon County,Pennsylvania,133673,134483,135528,135607,136196,137067
Lehigh County,Pennsylvania,350185,353654,355336,355817,358286,360685
Luzerne County,Pennsylvania,320998,321153,321493,320041,319337,318449
Lycoming County,Pennsylvania,116204,116697,117314,116717,116503,116048
McKean County,Pennsylvania,43360,43199,43245,42855,42708,42412
Mercer County,Pennsylvania,116626,116239,115818,115354,114957,114234
Mifflin County,Pennsylvania,46655,46791,46837,46714,46535,46500
Monroe County,Pennsylvania,169906,169876,168579,167310,167242,166397
Montgomery County,Pennsylvania,801063,805575,809701,813704,816608,819264
Montour County,Pennsylvania,18307,18368,18489,18516,18609,18557
Northampton County,Pennsylvania,298049,298291,299290,299515,300172,300813
Northumberland County,Pennsylvania,94349,94458,94519,94037,93770,93246
Perry County,Pennsylvania,46002,45864,45742,45571,45523,45685
Philadelphia County,Pennsylvania,1528338,1539087,1550584,1556686,1561562,1567442
Pike County,Pennsylvania,57332,57526,56797,56651,56238,55949
Potter County,Pennsylvania,17469,17453,17621,17499,17220,17093
Schuylkill County,Pennsylvania,148213,147616,147297,146752,145546,144590
Snyder County,Pennsylvania,39745,39659,39795,40079,40255,40444
Somerset County,Pennsylvania,77759,77387,77193,76757,76226,75522
Sullivan County,Pennsylvania,6410,6453,6453,6337,6336,6328
Susquehanna County,Pennsylvania,43403,43131,42783,42316,41947,41666
Tioga County,Pennsylvania,42029,42422,42621,42423,42078,41877
Union County,Pennsylvania,44973,45061,45135,44730,44908,44954
Venango County,Pennsylvania,54964,54724,54250,53933,53503,53119
Warren County,Pennsylvania,41755,41495,41238,40962,40720,40396
